date,hospital,requests,A+,A-,B+,B-,AB+,AB-,O+,O-
2022-01-01,Hospital Angkatan Tentera Tuanku Mizan,20,3,3,3,0,3,2,4,2
2022-01-01,Hospital Rehabilitasi Cheras,42,5,5,4,7,5,7,4,5
2022-01-01,Hospital Nukleus Labuan,0,0,0,0,0,0,0,0,0
2022-01-01,Jabatan Kesihatan Labuan,0,0,0,0,0,0,0,0,0
2022-01-01,Malacca General Hospital,35,3,5,4,3,3,9,2,6
2022-01-01,Hospital Alor Gajah,28,3,0,2,7,6,2,4,4
2022-01-01,Hospital Jasin,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Angkatan Tentera Terendak,5,0,1,0,2,0,1,1,0
2022-01-01,Tuanku Ja'afar Hospital,7,0,3,0,1,1,1,0,1
2022-01-01,"Hospital Tuanku Ampuan Najihah, Kuala Pilah",8,1,2,2,1,0,1,1,0
2022-01-01,Hospital Port Dickson,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Tampin,7,0,1,2,2,1,0,1,0
2022-01-01,Hospital Jelebu,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Jempol,20,1,4,1,3,4,2,3,2
2022-01-01,Hospital Rembau,14,1,3,3,2,3,0,1,1
2022-01-01,Tengku Ampuan Afzan Hospital,7,1,2,0,0,1,2,0,1
2022-01-01,Hospital Pekan,18,1,2,4,2,0,5,1,3
2022-01-01,Hospital Kuala Lipis,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Raub,6,1,1,0,1,0,1,1,1
2022-01-01,Hospital Bentong,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Jerantut,8,0,1,2,2,1,0,1,1
2022-01-01,Hospital Jengka,12,3,0,1,0,2,0,3,3
2022-01-01,Hospital Muadzam Shah,0,0,0,0,0,0,0,0,0
2022-01-01,"Hospital Sultan Haji Ahmad Shah, Temerloh",7,1,1,1,0,0,4,0,0
2022-01-01,Hospital Cameron Highlands,30,6,4,4,2,4,6,1,3
2022-01-01,Hospital Rompin,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Universiti Islam Antabangsa (UIA) Kuantan,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Bera,40,7,6,7,3,4,5,3,5
2022-01-01,Penang General Hospital,7,1,1,1,1,0,1,1,1
2022-01-01,Hospital Sungai Bakap,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Bukit Mertajam,6,0,1,0,0,2,0,2,1
2022-01-01,Hospital Balik Pulau,18,1,3,4,1,0,1,4,4
2022-01-01,Hospital Seberang Jaya,21,2,4,1,2,2,4,3,3
2022-01-01,Hospital Kepala Batas,10,0,0,1,3,2,0,1,3
2022-01-01,Hospital Batu Gajah,0,0,0,0,0,0,0,0,0
2022-01-01,"Hospital Bahagia Ulu Kinta, Tanjung Rambutan",56,9,6,5,8,9,3,6,10
2022-01-01,Hospital Changkat Melintang,77,15,9,8,7,11,10,9,8
2022-01-01,Hospital Grik,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Kampar,7,1,1,3,1,0,0,0,1
2022-01-01,Hospital Kuala Kangsar,16,2,5,2,2,3,1,0,1
2022-01-01,Hospital Parit Buntar,0,0,0,0,0,0,0,0,0
2022-01-01,"Hospital Raja Permaisuri Bainun, Ipoh",0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Selama,16,0,2,3,3,0,1,2,5
2022-01-01,Hospital Seri Manjung,16,1,2,1,1,6,2,2,1
2022-01-01,Hospital Sg. Siput,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Slim River,112,14,20,13,13,14,13,13,12
2022-01-01,Hospital Tapah,7,1,2,1,0,0,0,1,2
2022-01-01,Hospital Taiping,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Teluk Intan,0,0,0,0,0,0,0,0,0
2022-01-01,"Hospital Tuanku Fauziah, Kangar",14,2,3,1,1,3,0,3,1
2022-01-01,Putrajaya Hospital,0,0,0,0,0,0,0,0,0
2022-01-01,National Cancer Institute,5,0,2,1,1,0,0,1,0
2022-01-01,"Queen Elizabeth Hospital, Kota Kinabalu (I & II)",14,1,0,1,1,2,3,3,3
2022-01-01,"Duchess of Kent Hospital, Sandakan",7,2,0,1,1,2,1,0,0
2022-01-01,Hospital Beaufort,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Beluran,8,1,1,1,0,2,1,1,1
2022-01-01,Hospital Keningau,10,1,1,0,0,2,1,3,2
2022-01-01,Hospital Kinabatangan,6,1,0,0,1,0,2,2,0
2022-01-01,Hospital Kota Belud,21,4,3,0,2,3,1,4,4
2022-01-01,Hospital Kota Marudu,10,2,0,1,4,2,0,0,1
2022-01-01,Hospital Kuala Penyu,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Kudat,24,3,2,2,6,4,2,3,2
2022-01-01,Hospital Lahad Datu,12,3,0,2,0,2,1,2,2
2022-01-01,Hospital Mesra Bukit Padang,7,0,1,0,1,2,1,2,0
2022-01-01,Hospital Papar,32,6,3,1,7,5,5,2,3
2022-01-01,Hospital Ranau,56,7,10,9,10,3,4,7,6
2022-01-01,Hospital Semporna,7,3,1,2,0,1,0,0,0
2022-01-01,Hospital Sipitang,7,0,0,0,3,0,0,0,4
2022-01-01,Hospital Tambunan,6,1,1,0,2,0,0,0,2
2022-01-01,Hospital Tawau,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Tenom,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Wanita dan Kanak-Kanak Sabah[5],0,0,0,0,0,0,0,0,0
2022-01-01,Sarawak General Hospital,0,0,0,0,0,0,0,0,0
2022-01-01,"Sarawak General Hospital, Kota Samarahan (Cardiac services)",0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Bau,16,2,0,3,2,1,5,2,1
2022-01-01,Hospital Sibu,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Miri,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Sarikei,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Sri Aman,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Limbang,7,0,1,1,0,1,1,1,2
2022-01-01,Hospital Lawas,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Kapit,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Sentosa,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Mukah,14,1,2,1,3,1,1,1,4
2022-01-01,Hospital Marudi,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Lundu,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Bintulu,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Betong,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Serian,7,0,1,1,1,0,1,3,0
2022-01-01,Hospital Simunjan,0,0,0,0,0,0,0,0,0
2022-01-01,Rajah Charles Brooke Memorial Hospital,32,5,4,3,2,2,1,9,6
2022-01-01,Hospital Kanowit,16,0,1,2,2,0,3,4,4
2022-01-01,Hospital Saratok,21,2,3,2,2,6,4,2,0
2022-01-01,Hospital Dalat,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Shah Alam,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Ampang,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Banting,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Kajang,28,1,3,5,5,5,1,4,4
2022-01-01,Hospital Kuala Kubu Baru,15,5,1,1,2,3,1,1,1
2022-01-01,Hospital Selayang,24,4,3,3,3,2,1,5,3
2022-01-01,Hospital Sultan Idris Shah Serdang,56,6,5,5,8,10,10,6,6
2022-01-01,Hospital Sungai Buloh,35,4,5,10,3,5,4,2,2
2022-01-01,Hospital Tanjung Karang,28,5,1,4,1,3,5,6,3
2022-01-01,"Hospital Tengku Ampuan Jemaah, Sabak Bernam",8,1,0,2,1,2,1,1,0
2022-01-01,"Hospital Tengku Ampuan Rahimah, Klang",24,0,2,5,5,2,2,3,5
2022-01-01,Universiti Putra Malaysia Teaching Hospital,8,1,1,0,1,1,0,2,2
2022-01-01,"Universiti Teknologi MARA Teaching Hospital, Puncak Alam",12,1,0,4,0,0,3,1,3
2022-01-01,"Hospital Sultanah Nur Zahirah, Kuala Terengganu",24,5,3,3,2,3,1,3,4
2022-01-01,Hospital Dungun,7,0,1,2,2,0,1,1,0
2022-01-01,Hospital Kemaman,5,0,0,0,1,2,0,2,0
2022-01-01,Hospital Besut,5,0,0,0,1,3,0,0,1
2022-01-01,Hospital Hulu Terengganu,14,3,0,1,6,0,2,2,0
2022-01-01,Hospital Setiu,32,3,3,2,2,6,3,5,8
2022-01-02,"Hospital Pakar Sultanah Fatimah, Muar",32,0,4,8,3,5,4,6,2
2022-01-02,"Hospital Sultanah Nora Ismail, Batu Pahat",0,0,0,0,0,0,0,0,0
2022-01-02,"Hospital Enche Besar Hajjah Kalsom, Kluang",35,6,7,2,1,5,4,6,4
2022-01-02,Hospital Segamat,42,3,6,5,6,1,8,5,8
2022-01-02,Hospital Pontian,16,1,2,4,0,3,3,2,1
2022-01-02,Hospital Kota Tinggi,40,5,7,4,5,2,5,5,7
2022-01-02,Hospital Mersing,24,3,2,0,3,3,2,5,6
2022-01-02,Hospital Tangkak,6,1,1,3,0,1,0,0,0
2022-01-02,"Hospital Temenggung Seri Maharaja Tun Ibrahim, Kulai",5,0,1,1,1,0,1,0,1
2022-01-02,Sultan Ismail Hospital,12,3,0,2,3,0,2,1,1
2022-01-02,"Hospital Sultanah Aminah, Johor Bahru[2]",0,0,0,0,0,0,0,0,0
2022-01-02,"Sultanah Bahiyah Hospital, Alor Setar",40,5,6,5,9,3,1,2,9
2022-01-02,"Sultan Abdul Halim Hospital, Sungai Petani",15,3,2,3,1,2,1,1,2
2022-01-02,Pendang Hospital,7,1,2,2,0,1,1,0,0
2022-01-02,Kulim Hospital,10,1,2,3,1,0,2,1,0
2022-01-02,Baling Hospital,0,0,0,0,0,0,0,0,0
2022-01-02,Sik Hospital,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Yan,6,1,0,0,0,2,1,2,0
2022-01-02,Hospital Jitra,15,4,0,0,0,3,4,2,2
2022-01-02,Hospital Kuala Nerang,21,2,1,3,3,2,2,2,6
2022-01-02,"Hospital Raja Perempuan Zainab II, Kota Bharu",0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Pasir Mas,16,3,2,5,2,1,0,2,1
2022-01-02,Hospital Tumpat,84,11,14,8,9,7,12,8,15
2022-01-02,Hospital Machang,24,2,3,4,5,3,3,2,2
2022-01-02,Hospital Jeli,32,4,3,5,4,4,5,4,3
2022-01-02,Hospital Tanah Merah,0,0,0,0,0,0,0,0,0
2022-01-02,"Hospital Tengku Anis, Pasir Putih",0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Gua Musang,5,1,0,0,0,1,0,1,2
2022-01-02,Hospital Kuala Krai,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Universiti Sains Malaysia (HUSM),7,1,0,1,2,1,2,0,0
2022-01-02,Kuala Lumpur Hospital,30,5,5,2,3,4,2,3,6
2022-01-02,National Heart Institute of Malaysia (IJN),21,2,3,4,3,3,1,2,3
2022-01-02,Hospital Canselor Tuanku Muhriz UKM (HCTM),12,1,2,1,1,3,1,1,2
2022-01-02,University Malaya Medical Centre (UMMC),0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Angkatan Tentera Tuanku Mizan,40,4,5,5,7,4,3,10,2
2022-01-02,Hospital Rehabilitasi Cheras,16,1,1,2,3,2,1,2,4
2022-01-02,Hospital Nukleus Labuan,5,2,1,1,0,0,0,1,0
2022-01-02,Jabatan Kesihatan Labuan,0,0,0,0,0,0,0,0,0
2022-01-02,Malacca General Hospital,16,1,2,5,2,0,3,2,1
2022-01-02,Hospital Alor Gajah,12,1,3,1,1,2,3,0,1
2022-01-02,Hospital Jasin,7,0,2,0,2,2,0,0,1
2022-01-02,Hospital Angkatan Tentera Terendak,8,2,1,0,2,2,1,0,0
2022-01-02,Tuanku Ja'afar Hospital,16,0,3,2,5,1,2,2,1
2022-01-02,"Hospital Tuanku Ampuan Najihah, Kuala Pilah",0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Port Dickson,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Tampin,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Jelebu,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Jempol,55,8,3,11,6,9,8,3,7
2022-01-02,Hospital Rembau,30,7,3,3,5,2,6,2,2
2022-01-02,Tengku Ampuan Afzan Hospital,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Pekan,20,4,2,0,4,1,4,3,2
2022-01-02,Hospital Kuala Lipis,6,2,0,2,0,0,1,1,0
2022-01-02,Hospital Raub,8,2,1,2,1,0,1,1,0
2022-01-02,Hospital Bentong,8,1,0,2,1,1,0,0,3
2022-01-02,Hospital Jerantut,8,2,2,1,1,1,1,0,0
2022-01-02,Hospital Jengka,24,3,3,5,5,2,4,1,1
2022-01-02,Hospital Muadzam Shah,5,1,0,0,1,2,1,0,0
2022-01-02,"Hospital Sultan Haji Ahmad Shah, Temerloh",0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Cameron Highlands,18,0,3,4,3,3,1,1,3
2022-01-02,Hospital Rompin,7,2,0,0,1,1,0,2,1
2022-01-02,Hospital Universiti Islam Antabangsa (UIA) Kuantan,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Bera,15,3,2,3,1,1,0,2,3
2022-01-02,Penang General Hospital,7,2,0,1,0,0,1,0,3
2022-01-02,Hospital Sungai Bakap,20,3,2,1,4,2,4,2,2
2022-01-02,Hospital Bukit Mertajam,16,1,1,1,1,1,5,4,2
2022-01-02,Hospital Balik Pulau,16,1,2,3,3,1,2,2,2
2022-01-02,Hospital Seberang Jaya,10,0,0,1,2,3,1,2,1
2022-01-02,Hospital Kepala Batas,10,0,0,0,3,0,3,2,2
2022-01-02,Hospital Batu Gajah,18,1,2,2,1,5,1,2,4
2022-01-02,"Hospital Bahagia Ulu Kinta, Tanjung Rambutan",75,8,7,10,4,14,9,14,9
2022-01-02,Hospital Changkat Melintang,30,4,7,4,4,3,2,2,4
2022-01-02,Hospital Grik,5,2,0,0,1,1,0,1,0
2022-01-02,Hospital Kampar,8,1,0,1,5,0,0,1,0
2022-01-02,Hospital Kuala Kangsar,8,0,1,1,2,1,1,2,0
2022-01-02,Hospital Parit Buntar,24,3,3,0,2,3,7,3,3
2022-01-02,"Hospital Raja Permaisuri Bainun, Ipoh",21,3,1,2,5,3,2,2,3
2022-01-02,Hospital Selama,24,3,2,4,2,5,0,6,2
2022-01-02,Hospital Seri Manjung,15,2,3,0,1,0,2,2,5
2022-01-02,Hospital Sg. Siput,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Slim River,60,6,9,10,9,7,6,8,5
2022-01-02,Hospital Tapah,15,0,4,2,2,3,1,2,1
2022-01-02,Hospital Taiping,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Teluk Intan,0,0,0,0,0,0,0,0,0
2022-01-02,"Hospital Tuanku Fauziah, Kangar",8,1,0,2,1,1,1,1,1
2022-01-02,Putrajaya Hospital,16,4,2,1,3,2,4,0,0
2022-01-02,National Cancer Institute,32,3,3,4,6,5,6,1,4
2022-01-02,"Queen Elizabeth Hospital, Kota Kinabalu (I & II)",7,0,0,1,0,1,1,2,2
2022-01-02,"Duchess of Kent Hospital, Sandakan",12,0,1,1,3,3,2,1,1
2022-01-02,Hospital Beaufort,5,0,0,1,1,0,1,0,2
2022-01-02,Hospital Beluran,16,1,1,4,5,0,3,1,1
2022-01-02,Hospital Keningau,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Kinabatangan,30,5,3,6,4,2,3,5,2
2022-01-02,Hospital Kota Belud,24,5,3,3,1,3,2,1,6
2022-01-02,Hospital Kota Marudu,10,1,1,0,3,3,2,0,0
2022-01-02,Hospital Kuala Penyu,8,0,3,1,0,0,2,1,1
2022-01-02,Hospital Kudat,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Lahad Datu,10,2,1,3,1,1,0,1,1
2022-01-02,Hospital Mesra Bukit Padang,8,1,2,1,0,1,2,0,1
2022-01-02,Hospital Papar,8,3,1,1,0,1,0,0,2
2022-01-02,Hospital Ranau,25,4,1,4,1,3,1,6,5
2022-01-02,Hospital Semporna,7,2,2,1,1,1,0,0,0
2022-01-02,Hospital Sipitang,7,1,1,1,1,1,0,1,1
2022-01-02,Hospital Tambunan,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Tawau,7,0,0,2,1,1,1,0,2
2022-01-02,Hospital Tenom,7,0,0,1,1,0,1,3,1
2022-01-02,Hospital Wanita dan Kanak-Kanak Sabah[5],30,1,5,5,6,1,4,5,3
2022-01-02,Sarawak General Hospital,0,0,0,0,0,0,0,0,0
2022-01-02,"Sarawak General Hospital, Kota Samarahan (Cardiac services)",0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Bau,8,0,0,0,3,4,1,0,0
2022-01-02,Hospital Sibu,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Miri,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Sarikei,8,0,1,2,2,2,0,0,1
2022-01-02,Hospital Sri Aman,18,2,3,2,1,3,3,3,1
2022-01-02,Hospital Limbang,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Lawas,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Kapit,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Sentosa,7,1,1,2,1,1,0,0,1
2022-01-02,Hospital Mukah,8,1,1,1,2,2,0,0,1
2022-01-02,Hospital Marudi,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Lundu,24,2,2,6,2,3,2,3,4
2022-01-02,Hospital Bintulu,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Betong,5,3,0,0,0,0,0,0,2
2022-01-02,Hospital Serian,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Simunjan,8,0,0,1,3,0,1,0,3
2022-01-02,Rajah Charles Brooke Memorial Hospital,24,6,1,3,2,5,3,3,1
2022-01-02,Hospital Kanowit,8,2,1,1,2,1,0,1,0
2022-01-02,Hospital Saratok,24,3,5,4,1,1,2,5,3
2022-01-02,Hospital Dalat,24,3,4,1,5,3,4,2,2
2022-01-02,Hospital Shah Alam,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Ampang,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Banting,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Kajang,15,2,2,1,3,2,0,1,4
2022-01-02,Hospital Kuala Kubu Baru,12,2,1,1,1,1,3,0,3
2022-01-02,Hospital Selayang,49,5,5,7,7,6,6,8,5
2022-01-02,Hospital Sultan Idris Shah Serdang,14,3,1,1,5,1,0,3,0
2022-01-02,Hospital Sungai Buloh,5,0,1,1,0,1,0,0,2
2022-01-02,Hospital Tanjung Karang,18,4,1,3,0,2,3,3,2
2022-01-02,"Hospital Tengku Ampuan Jemaah, Sabak Bernam",5,1,0,0,0,1,1,1,1
2022-01-02,"Hospital Tengku Ampuan Rahimah, Klang",20,2,1,5,2,2,1,2,5
2022-01-02,Universiti Putra Malaysia Teaching Hospital,6,0,2,1,1,0,0,0,2
2022-01-02,"Universiti Teknologi MARA Teaching Hospital, Puncak Alam",28,3,2,2,5,6,2,4,4
2022-01-02,"Hospital Sultanah Nur Zahirah, Kuala Terengganu",80,20,7,7,12,4,8,11,11
2022-01-02,Hospital Dungun,14,1,1,1,3,1,3,2,2
2022-01-02,Hospital Kemaman,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Besut,8,0,4,1,1,0,1,1,0
2022-01-02,Hospital Hulu Terengganu,18,1,1,3,1,6,1,3,2
2022-01-02,Hospital Setiu,48,7,5,8,11,3,9,3,2
2022-01-03,"Hospital Pakar Sultanah Fatimah, Muar",15,0,1,3,0,3,2,2,4
2022-01-03,"Hospital Sultanah Nora Ismail, Batu Pahat",8,1,0,0,1,1,2,1,2
2022-01-03,"Hospital Enche Besar Hajjah Kalsom, Kluang",40,5,5,2,5,5,4,9,5
2022-01-03,Hospital Segamat,40,5,5,5,2,8,5,6,4
2022-01-03,Hospital Pontian,15,4,2,1,2,1,2,2,1
2022-01-03,Hospital Kota Tinggi,21,4,1,4,1,3,1,5,2
2022-01-03,Hospital Mersing,16,0,2,2,4,1,1,2,4
2022-01-03,Hospital Tangkak,0,0,0,0,0,0,0,0,0
2022-01-03,"Hospital Temenggung Seri Maharaja Tun Ibrahim, Kulai",35,3,4,2,3,4,6,5,8
2022-01-03,Sultan Ismail Hospital,5,1,0,2,0,1,0,0,1
2022-01-03,"Hospital Sultanah Aminah, Johor Bahru[2]",35,6,5,5,6,4,5,2,2
2022-01-03,"Sultanah Bahiyah Hospital, Alor Setar",32,3,5,4,3,4,5,4,4
2022-01-03,"Sultan Abdul Halim Hospital, Sungai Petani",8,1,0,2,0,0,3,1,1
2022-01-03,Pendang Hospital,0,0,0,0,0,0,0,0,0
2022-01-03,Kulim Hospital,16,2,2,2,0,3,1,4,2
2022-01-03,Baling Hospital,0,0,0,0,0,0,0,0,0
2022-01-03,Sik Hospital,8,2,1,1,2,0,0,2,0
2022-01-03,Hospital Yan,12,5,1,0,3,0,0,1,2
2022-01-03,Hospital Jitra,35,6,2,11,4,5,1,3,3
2022-01-03,Hospital Kuala Nerang,21,3,4,3,5,0,2,1,3
2022-01-03,"Hospital Raja Perempuan Zainab II, Kota Bharu",0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Pasir Mas,8,1,2,0,2,2,0,0,1
2022-01-03,Hospital Tumpat,55,4,6,12,3,5,9,6,10
2022-01-03,Hospital Machang,16,3,2,1,2,2,1,3,2
2022-01-03,Hospital Jeli,12,0,2,3,0,1,1,5,0
2022-01-03,Hospital Tanah Merah,0,0,0,0,0,0,0,0,0
2022-01-03,"Hospital Tengku Anis, Pasir Putih",6,1,1,0,0,2,1,1,0
2022-01-03,Hospital Gua Musang,56,8,6,5,10,5,9,10,3
2022-01-03,Hospital Kuala Krai,40,2,2,5,9,6,6,6,4
2022-01-03,Hospital Universiti Sains Malaysia (HUSM),0,0,0,0,0,0,0,0,0
2022-01-03,Kuala Lumpur Hospital,35,8,7,2,3,5,5,3,2
2022-01-03,National Heart Institute of Malaysia (IJN),12,1,3,1,3,1,0,2,1
2022-01-03,Hospital Canselor Tuanku Muhriz UKM (HCTM),12,2,2,2,2,1,3,0,0
2022-01-03,University Malaya Medical Centre (UMMC),8,1,1,0,0,1,0,3,2
2022-01-03,Hospital Angkatan Tentera Tuanku Mizan,24,5,3,2,5,3,2,2,2
2022-01-03,Hospital Rehabilitasi Cheras,21,2,4,5,1,2,1,4,2
2022-01-03,Hospital Nukleus Labuan,0,0,0,0,0,0,0,0,0
2022-01-03,Jabatan Kesihatan Labuan,0,0,0,0,0,0,0,0,0
2022-01-03,Malacca General Hospital,48,4,7,3,5,6,4,11,8
2022-01-03,Hospital Alor Gajah,16,4,1,1,3,3,2,1,1
2022-01-03,Hospital Jasin,8,0,0,1,3,1,0,2,1
2022-01-03,Hospital Angkatan Tentera Terendak,7,2,0,1,0,2,0,0,2
2022-01-03,Tuanku Ja'afar Hospital,6,1,0,0,1,3,1,0,0
2022-01-03,"Hospital Tuanku Ampuan Najihah, Kuala Pilah",0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Port Dickson,5,2,0,0,1,0,1,0,1
2022-01-03,Hospital Tampin,8,3,1,0,1,2,1,0,0
2022-01-03,Hospital Jelebu,10,1,1,4,0,2,0,1,1
2022-01-03,Hospital Jempol,40,7,3,5,5,5,6,5,4
2022-01-03,Hospital Rembau,6,0,0,0,0,0,5,1,0
2022-01-03,Tengku Ampuan Afzan Hospital,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Pekan,24,3,3,3,2,3,3,4,3
2022-01-03,Hospital Kuala Lipis,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Raub,8,4,2,0,0,2,0,0,0
2022-01-03,Hospital Bentong,5,0,0,1,0,3,1,0,0
2022-01-03,Hospital Jerantut,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Jengka,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Muadzam Shah,0,0,0,0,0,0,0,0,0
2022-01-03,"Hospital Sultan Haji Ahmad Shah, Temerloh",10,1,0,3,1,2,1,2,0
2022-01-03,Hospital Cameron Highlands,18,4,1,2,2,0,2,2,5
2022-01-03,Hospital Rompin,8,1,0,0,0,6,0,0,1
2022-01-03,Hospital Universiti Islam Antabangsa (UIA) Kuantan,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Bera,16,2,3,2,2,2,0,3,2
2022-01-03,Penang General Hospital,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Sungai Bakap,0,0,0,0,0,0,0,0,0
