date,hospital,requests,A+,A-,B+,B-,AB+,AB-,O+,O-
2022-01-01,Putrajaya Hospital,5,1,0,0,1,1,1,1,0
2022-01-01,National Cancer Institute,10,1,1,0,3,4,1,0,0
2022-01-01,"Queen Elizabeth Hospital, Kota Kinabalu (I & II)",0,0,0,0,0,0,0,0,0
2022-01-01,"Duchess of Kent Hospital, Sandakan",49,6,12,4,6,4,3,9,5
2022-01-01,Hospital Beaufort,30,2,3,7,5,7,1,3,2
2022-01-01,Hospital Beluran,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Keningau,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Kinabatangan,12,3,1,1,1,1,3,0,2
2022-01-01,Hospital Kota Belud,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Kota Marudu,12,2,0,1,3,2,1,1,2
2022-01-01,Hospital Kuala Penyu,18,2,2,3,0,2,3,2,4
2022-01-01,Hospital Kudat,16,5,2,0,3,2,0,4,0
2022-01-01,Hospital Lahad Datu,24,3,5,1,4,2,4,0,5
2022-01-01,Hospital Mesra Bukit Padang,15,1,2,1,2,1,2,4,2
2022-01-01,Hospital Papar,16,2,1,2,3,2,2,3,1
2022-01-01,Hospital Ranau,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Semporna,40,3,7,8,2,3,2,2,13
2022-01-01,Hospital Sipitang,7,0,3,0,0,1,0,1,2
2022-01-01,Hospital Tambunan,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Tawau,18,1,5,1,1,4,2,1,3
2022-01-01,Hospital Tenom,7,1,1,0,2,2,0,0,1
2022-01-01,Hospital Wanita dan Kanak-Kanak Sabah[5],12,0,2,1,2,4,1,1,1
2022-01-01,Sarawak General Hospital,14,4,2,0,3,1,2,0,2
2022-01-01,"Sarawak General Hospital, Kota Samarahan (Cardiac services)",0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Bau,5,1,0,1,1,0,1,1,0
2022-01-01,Hospital Sibu,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Miri,8,0,1,1,0,1,0,1,4
2022-01-01,Hospital Sarikei,8,1,0,2,0,1,1,2,1
2022-01-01,Hospital Sri Aman,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Limbang,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Lawas,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Kapit,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Sentosa,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Mukah,21,1,4,2,5,3,2,3,1
2022-01-01,Hospital Marudi,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Lundu,6,0,1,1,2,0,1,1,0
2022-01-01,Hospital Bintulu,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Betong,8,1,2,0,1,0,0,3,1
2022-01-01,Hospital Serian,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Simunjan,0,0,0,0,0,0,0,0,0
2022-01-01,Rajah Charles Brooke Memorial Hospital,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Kanowit,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Saratok,6,0,2,2,0,1,0,1,0
2022-01-01,Hospital Dalat,12,1,0,3,4,0,0,2,2
2022-01-01,Hospital Shah Alam,12,3,0,0,4,4,0,1,0
2022-01-01,Hospital Ampang,24,5,1,4,3,4,2,4,1
2022-01-01,Hospital Banting,7,1,0,1,3,1,0,0,1
2022-01-01,Hospital Kajang,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Kuala Kubu Baru,16,1,3,1,4,3,1,2,1
2022-01-01,Hospital Selayang,0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Sultan Idris Shah Serdang,6,2,1,1,0,2,0,0,0
2022-01-01,Hospital Sungai Buloh,5,0,0,0,0,0,2,3,0
2022-01-01,Hospital Tanjung Karang,42,5,3,2,5,7,9,5,6
2022-01-01,"Hospital Tengku Ampuan Jemaah, Sabak Bernam",24,4,6,2,3,1,2,2,4
2022-01-01,"Hospital Tengku Ampuan Rahimah, Klang",0,0,0,0,0,0,0,0,0
2022-01-01,Universiti Putra Malaysia Teaching Hospital,72,16,6,9,8,6,7,10,10
2022-01-01,"Universiti Teknologi MARA Teaching Hospital, Puncak Alam",5,2,1,0,0,0,1,0,1
2022-01-01,"Hospital Sultanah Nur Zahirah, Kuala Terengganu",0,0,0,0,0,0,0,0,0
2022-01-01,Hospital Dungun,24,3,2,2,0,6,5,4,2
2022-01-01,Hospital Kemaman,15,1,0,0,2,2,4,4,2
2022-01-01,Hospital Besut,8,1,1,0,2,2,0,1,1
2022-01-01,Hospital Hulu Terengganu,8,1,0,2,1,2,1,1,0
2022-01-01,Hospital Setiu,0,0,0,0,0,0,0,0,0
2022-01-02,"Hospital Pakar Sultanah Fatimah, Muar",0,0,0,0,0,0,0,0,0
2022-01-02,"Hospital Sultanah Nora Ismail, Batu Pahat",24,2,5,3,0,1,3,7,3
2022-01-02,"Hospital Enche Besar Hajjah Kalsom, Kluang",7,0,0,1,0,1,1,2,2
2022-01-02,Hospital Segamat,8,0,0,3,1,1,1,1,1
2022-01-02,Hospital Pontian,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Kota Tinggi,5,2,0,0,0,0,2,1,0
2022-01-02,Hospital Mersing,66,4,7,8,16,5,11,8,7
2022-01-02,Hospital Tangkak,42,7,3,3,4,5,5,4,11
2022-01-02,"Hospital Temenggung Seri Maharaja Tun Ibrahim, Kulai",21,2,6,0,5,1,1,2,4
2022-01-02,Sultan Ismail Hospital,6,1,0,1,2,1,1,0,0
2022-01-02,"Hospital Sultanah Aminah, Johor Bahru[2]",15,2,1,1,2,3,1,2,3
2022-01-02,"Sultanah Bahiyah Hospital, Alor Setar",0,0,0,0,0,0,0,0,0
2022-01-02,"Sultan Abdul Halim Hospital, Sungai Petani",15,3,1,3,3,2,1,1,1
2022-01-02,Pendang Hospital,5,0,1,1,0,0,0,1,2
2022-01-02,Kulim Hospital,7,1,1,2,0,1,0,2,0
2022-01-02,Baling Hospital,0,0,0,0,0,0,0,0,0
2022-01-02,Sik Hospital,7,0,2,1,1,0,1,1,1
2022-01-02,Hospital Yan,32,4,2,6,7,1,2,4,6
2022-01-02,Hospital Jitra,21,3,2,2,2,2,4,5,1
2022-01-02,Hospital Kuala Nerang,8,2,0,2,2,1,0,0,1
2022-01-02,"Hospital Raja Perempuan Zainab II, Kota Bharu",0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Pasir Mas,25,4,2,1,4,4,3,3,4
2022-01-02,Hospital Tumpat,5,1,3,0,0,1,0,0,0
2022-01-02,Hospital Machang,15,2,3,4,0,2,1,1,2
2022-01-02,Hospital Jeli,6,0,2,0,0,1,1,0,2
2022-01-02,Hospital Tanah Merah,6,1,0,0,3,0,2,0,0
2022-01-02,"Hospital Tengku Anis, Pasir Putih",0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Gua Musang,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Kuala Krai,42,11,5,4,2,4,5,3,8
2022-01-02,Hospital Universiti Sains Malaysia (HUSM),8,3,0,1,0,1,0,0,3
2022-01-02,Kuala Lumpur Hospital,0,0,0,0,0,0,0,0,0
2022-01-02,National Heart Institute of Malaysia (IJN),15,0,2,1,1,1,2,4,4
2022-01-02,Hospital Canselor Tuanku Muhriz UKM (HCTM),0,0,0,0,0,0,0,0,0
2022-01-02,University Malaya Medical Centre (UMMC),28,1,5,1,3,3,4,6,5
2022-01-02,Hospital Angkatan Tentera Tuanku Mizan,24,6,4,4,2,2,2,2,2
2022-01-02,Hospital Rehabilitasi Cheras,24,3,3,2,5,3,2,3,3
2022-01-02,Hospital Nukleus Labuan,0,0,0,0,0,0,0,0,0
2022-01-02,Jabatan Kesihatan Labuan,12,0,1,3,3,1,1,2,1
2022-01-02,Malacca General Hospital,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Alor Gajah,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Jasin,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Angkatan Tentera Terendak,8,1,1,0,2,1,2,0,1
2022-01-02,Tuanku Ja'afar Hospital,0,0,0,0,0,0,0,0,0
2022-01-02,"Hospital Tuanku Ampuan Najihah, Kuala Pilah",0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Port Dickson,15,3,3,2,1,1,1,3,1
2022-01-02,Hospital Tampin,8,3,0,2,1,1,0,0,1
2022-01-02,Hospital Jelebu,20,2,2,1,3,5,1,4,2
2022-01-02,Hospital Jempol,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Rembau,12,1,2,2,2,2,1,0,2
2022-01-02,Tengku Ampuan Afzan Hospital,24,0,6,6,5,3,2,2,0
2022-01-02,Hospital Pekan,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Kuala Lipis,7,2,0,2,0,0,1,2,0
2022-01-02,Hospital Raub,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Bentong,10,1,1,2,0,1,1,1,3
2022-01-02,Hospital Jerantut,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Jengka,24,2,3,1,3,2,4,7,2
2022-01-02,Hospital Muadzam Shah,16,1,1,2,2,3,2,4,1
2022-01-02,"Hospital Sultan Haji Ahmad Shah, Temerloh",24,1,4,6,1,3,2,4,3
2022-01-02,Hospital Cameron Highlands,24,1,2,3,6,4,3,1,4
2022-01-02,Hospital Rompin,6,2,1,0,1,0,0,1,1
2022-01-02,Hospital Universiti Islam Antabangsa (UIA) Kuantan,20,3,2,2,4,7,0,0,2
2022-01-02,Hospital Bera,5,0,0,1,0,2,0,1,1
2022-01-02,Penang General Hospital,18,1,2,1,4,2,2,4,2
2022-01-02,Hospital Sungai Bakap,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Bukit Mertajam,8,2,0,0,2,3,0,0,1
2022-01-02,Hospital Balik Pulau,7,0,1,1,0,1,0,2,2
2022-01-02,Hospital Seberang Jaya,24,3,3,2,1,5,3,5,2
2022-01-02,Hospital Kepala Batas,45,1,8,3,7,7,6,7,6
2022-01-02,Hospital Batu Gajah,0,0,0,0,0,0,0,0,0
2022-01-02,"Hospital Bahagia Ulu Kinta, Tanjung Rambutan",0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Changkat Melintang,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Grik,14,2,1,0,2,1,2,3,3
2022-01-02,Hospital Kampar,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Kuala Kangsar,30,8,6,3,2,4,4,2,1
2022-01-02,Hospital Parit Buntar,0,0,0,0,0,0,0,0,0
2022-01-02,"Hospital Raja Permaisuri Bainun, Ipoh",5,0,1,2,0,1,0,0,1
2022-01-02,Hospital Selama,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Seri Manjung,12,1,0,0,2,3,2,3,1
2022-01-02,Hospital Sg. Siput,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Slim River,16,2,1,1,2,2,3,3,2
2022-01-02,Hospital Tapah,14,4,2,1,1,1,0,2,3
2022-01-02,Hospital Taiping,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Teluk Intan,16,1,1,1,4,2,4,2,1
2022-01-02,"Hospital Tuanku Fauziah, Kangar",18,3,2,0,4,2,4,1,2
2022-01-02,Putrajaya Hospital,28,1,2,2,2,5,5,7,4
2022-01-02,National Cancer Institute,6,1,0,0,0,1,1,2,1
2022-01-02,"Queen Elizabeth Hospital, Kota Kinabalu (I & II)",0,0,0,0,0,0,0,0,0
2022-01-02,"Duchess of Kent Hospital, Sandakan",25,3,4,1,3,3,4,5,2
2022-01-02,Hospital Beaufort,56,3,3,10,12,5,6,11,6
2022-01-02,Hospital Beluran,7,2,0,0,0,1,1,0,3
2022-01-02,Hospital Keningau,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Kinabatangan,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Kota Belud,5,1,1,1,1,0,0,1,0
2022-01-02,Hospital Kota Marudu,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Kuala Penyu,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Kudat,36,6,3,6,5,5,4,1,6
2022-01-02,Hospital Lahad Datu,6,0,0,2,0,2,0,0,2
2022-01-02,Hospital Mesra Bukit Padang,25,4,3,3,3,4,5,3,0
2022-01-02,Hospital Papar,24,1,3,4,3,3,6,3,1
2022-01-02,Hospital Ranau,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Semporna,48,7,7,6,3,9,5,4,7
2022-01-02,Hospital Sipitang,16,0,0,4,1,3,2,4,2
2022-01-02,Hospital Tambunan,12,1,0,3,3,2,2,1,0
2022-01-02,Hospital Tawau,7,0,1,1,1,1,0,2,1
2022-01-02,Hospital Tenom,5,2,2,0,0,0,1,0,0
2022-01-02,Hospital Wanita dan Kanak-Kanak Sabah[5],64,5,8,10,6,10,6,4,15
2022-01-02,Sarawak General Hospital,6,0,1,0,1,2,1,1,0
2022-01-02,"Sarawak General Hospital, Kota Samarahan (Cardiac services)",0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Bau,8,1,1,1,0,0,1,2,2
2022-01-02,Hospital Sibu,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Miri,12,0,0,1,3,1,3,2,2
2022-01-02,Hospital Sarikei,6,1,2,0,0,1,0,2,0
2022-01-02,Hospital Sri Aman,5,0,1,1,1,2,0,0,0
2022-01-02,Hospital Limbang,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Lawas,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Kapit,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Sentosa,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Mukah,14,1,2,0,3,1,3,2,2
2022-01-02,Hospital Marudi,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Lundu,5,0,0,2,0,0,1,2,0
2022-01-02,Hospital Bintulu,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Betong,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Serian,8,1,1,1,0,2,2,1,0
2022-01-02,Hospital Simunjan,6,1,2,0,0,0,1,0,2
2022-01-02,Rajah Charles Brooke Memorial Hospital,12,3,1,3,0,1,2,2,0
2022-01-02,Hospital Kanowit,6,1,0,1,2,0,1,1,0
2022-01-02,Hospital Saratok,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Dalat,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Shah Alam,24,1,2,5,3,6,3,1,3
2022-01-02,Hospital Ampang,7,1,0,2,1,1,1,0,1
2022-01-02,Hospital Banting,24,3,3,3,2,4,3,3,3
2022-01-02,Hospital Kajang,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Kuala Kubu Baru,5,0,0,1,1,1,1,0,1
2022-01-02,Hospital Selayang,0,0,0,0,0,0,0,0,0
2022-01-02,Hospital Sultan Idris Shah Serdang,15,3,0,0,2,0,2,5,3
2022-01-02,Hospital Sungai Buloh,7,1,3,0,1,1,0,0,1
2022-01-02,Hospital Tanjung Karang,24,6,0,7,0,2,0,4,5
2022-01-02,"Hospital Tengku Ampuan Jemaah, Sabak Bernam",14,2,1,2,0,2,2,1,4
2022-01-02,"Hospital Tengku Ampuan Rahimah, Klang",6,0,1,1,0,1,0,1,2
2022-01-02,Universiti Putra Malaysia Teaching Hospital,72,8,8,8,8,12,4,11,13
2022-01-02,"Universiti Teknologi MARA Teaching Hospital, Puncak Alam",10,0,1,3,0,2,2,1,1
2022-01-02,"Hospital Sultanah Nur Zahirah, Kuala Terengganu",40,4,5,7,4,3,4,8,5
2022-01-02,Hospital Dungun,35,10,4,5,4,2,5,4,1
2022-01-02,Hospital Kemaman,24,3,2,4,4,3,3,2,3
2022-01-02,Hospital Besut,10,4,0,0,3,1,2,0,0
2022-01-02,Hospital Hulu Terengganu,20,2,4,1,0,3,2,5,3
2022-01-02,Hospital Setiu,15,1,2,1,2,3,3,2,1
2022-01-03,"Hospital Pakar Sultanah Fatimah, Muar",15,1,1,0,3,3,3,0,4
2022-01-03,"Hospital Sultanah Nora Ismail, Batu Pahat",5,0,1,0,1,0,2,1,0
2022-01-03,"Hospital Enche Besar Hajjah Kalsom, Kluang",6,2,0,1,0,1,0,0,2
2022-01-03,Hospital Segamat,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Pontian,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Kota Tinggi,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Mersing,30,5,2,5,3,2,2,2,9
2022-01-03,Hospital Tangkak,42,3,2,3,12,8,6,4,4
2022-01-03,"Hospital Temenggung Seri Maharaja Tun Ibrahim, Kulai",25,1,4,4,3,1,5,5,2
2022-01-03,Sultan Ismail Hospital,6,0,1,1,1,0,3,0,0
2022-01-03,"Hospital Sultanah Aminah, Johor Bahru[2]",8,2,3,0,0,0,2,1,0
2022-01-03,"Sultanah Bahiyah Hospital, Alor Setar",5,1,1,0,2,0,0,1,0
2022-01-03,"Sultan Abdul Halim Hospital, Sungai Petani",12,1,0,1,2,3,2,2,1
2022-01-03,Pendang Hospital,14,0,2,3,1,1,4,1,2
2022-01-03,Kulim Hospital,10,0,0,2,1,1,4,1,1
2022-01-03,Baling Hospital,8,0,0,1,1,2,2,1,1
2022-01-03,Sik Hospital,7,2,1,0,1,1,0,1,1
2022-01-03,Hospital Yan,6,1,1,0,0,0,1,0,3
2022-01-03,Hospital Jitra,7,3,1,0,1,0,1,0,1
2022-01-03,Hospital Kuala Nerang,7,0,1,1,3,0,1,0,1
2022-01-03,"Hospital Raja Perempuan Zainab II, Kota Bharu",7,0,0,2,2,0,1,1,1
2022-01-03,Hospital Pasir Mas,30,2,5,4,5,5,6,1,2
2022-01-03,Hospital Tumpat,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Machang,8,0,0,2,1,1,0,3,1
2022-01-03,Hospital Jeli,7,2,0,1,0,2,2,0,0
2022-01-03,Hospital Tanah Merah,16,3,2,2,2,1,0,4,2
2022-01-03,"Hospital Tengku Anis, Pasir Putih",0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Gua Musang,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Kuala Krai,35,8,2,7,4,5,4,5,0
2022-01-03,Hospital Universiti Sains Malaysia (HUSM),0,0,0,0,0,0,0,0,0
2022-01-03,Kuala Lumpur Hospital,5,1,1,1,0,1,0,1,0
2022-01-03,National Heart Institute of Malaysia (IJN),10,2,0,4,0,0,2,0,2
2022-01-03,Hospital Canselor Tuanku Muhriz UKM (HCTM),7,1,0,0,1,2,0,2,1
2022-01-03,University Malaya Medical Centre (UMMC),16,1,1,3,0,1,3,3,4
2022-01-03,Hospital Angkatan Tentera Tuanku Mizan,8,2,4,0,0,2,0,0,0
2022-01-03,Hospital Rehabilitasi Cheras,49,4,7,8,5,7,4,6,8
2022-01-03,Hospital Nukleus Labuan,0,0,0,0,0,0,0,0,0
2022-01-03,Jabatan Kesihatan Labuan,12,2,2,0,0,0,3,2,3
2022-01-03,Malacca General Hospital,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Alor Gajah,15,4,0,3,2,0,2,3,1
2022-01-03,Hospital Jasin,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Angkatan Tentera Terendak,12,2,0,2,1,2,0,2,3
2022-01-03,Tuanku Ja'afar Hospital,0,0,0,0,0,0,0,0,0
2022-01-03,"Hospital Tuanku Ampuan Najihah, Kuala Pilah",0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Port Dickson,15,2,2,1,2,3,2,2,1
2022-01-03,Hospital Tampin,21,3,4,2,1,5,1,1,4
2022-01-03,Hospital Jelebu,24,2,2,2,6,6,1,2,3
2022-01-03,Hospital Jempol,10,2,2,1,1,2,0,1,1
2022-01-03,Hospital Rembau,7,0,0,0,2,2,2,1,0
2022-01-03,Tengku Ampuan Afzan Hospital,14,3,0,1,0,5,2,1,2
2022-01-03,Hospital Pekan,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Kuala Lipis,14,1,2,3,1,0,2,2,3
2022-01-03,Hospital Raub,10,0,3,1,0,3,2,1,0
2022-01-03,Hospital Bentong,16,1,4,0,2,6,2,1,0
2022-01-03,Hospital Jerantut,5,1,0,0,0,1,1,2,0
2022-01-03,Hospital Jengka,28,4,6,4,4,0,2,4,4
2022-01-03,Hospital Muadzam Shah,18,3,5,3,1,1,1,4,0
2022-01-03,"Hospital Sultan Haji Ahmad Shah, Temerloh",35,7,4,9,4,5,3,2,1
2022-01-03,Hospital Cameron Highlands,25,2,3,2,5,6,5,1,1
2022-01-03,Hospital Rompin,0,0,0,0,0,0,0,0,0
2022-01-03,Hospital Universiti Islam Antabangsa (UIA) Kuantan,25,6,6,1,1,4,1,4,2
2022-01-03,Hospital Bera,0,0,0,0,0,0,0,0,0
2022-01-03,Penang General Hospital,6,0,0,3,0,2,1,0,0
2022-01-03,Hospital Sungai Bakap,12,2,0,0,1,1,1,5,2
