,date,hospital,requests,A+,A-,B+,B-,AB+,AB-,O+,O-
141,1970-01-01 00:00:00.000000000,"Hospital Sultanah Nur Zahirah, Kuala Terengganu",36,4,2,3,4,6,4,6,7
142,1970-01-01 00:00:00.000000000,Hospital Dungun,15,1,5,1,2,2,0,2,2
143,1970-01-01 00:00:00.000000000,Hospital Kemaman,0,0,0,0,0,0,0,0,0
144,1970-01-01 00:00:00.000000000,Hospital Besut,0,0,0,0,0,0,0,0,0
145,1970-01-01 00:00:00.000000000,Hospital Hulu Terengganu,16,3,3,3,2,1,4,0,0
146,1970-01-01 00:00:00.000000000,Hospital Setiu,24,5,2,2,5,0,5,3,2
147,1970-01-01 00:00:00.000000001,"Hospital Pakar Sultanah Fatimah, Muar",32,3,7,3,5,3,4,5,2
148,1970-01-01 00:00:00.000000001,"Hospital Sultanah Nora Ismail, Batu Pahat",10,1,0,1,0,1,4,1,2
149,1970-01-01 00:00:00.000000001,"Hospital Enche Besar Hajjah Kalsom, Kluang",49,7,4,5,8,5,8,4,8
150,1970-01-01 00:00:00.000000001,Hospital Segamat,24,1,3,7,0,4,4,3,2
151,1970-01-01 00:00:00.000000001,Hospital Pontian,10,0,2,0,2,1,2,2,1
152,1970-01-01 00:00:00.000000001,Hospital Kota Tinggi,5,1,0,1,0,0,2,0,1
153,1970-01-01 00:00:00.000000001,Hospital Mersing,45,9,3,6,4,3,13,4,3
154,1970-01-01 00:00:00.000000001,Hospital Tangkak,0,0,0,0,0,0,0,0,0
155,1970-01-01 00:00:00.000000001,"Hospital Temenggung Seri Maharaja Tun Ibrahim, Kulai",42,5,7,4,2,5,7,7,5
156,1970-01-01 00:00:00.000000001,Sultan Ismail Hospital,10,1,0,0,2,2,3,2,0
157,1970-01-01 00:00:00.000000001,"Hospital Sultanah Aminah, Johor Bahru[2]",16,1,1,2,3,3,1,2,3
158,1970-01-01 00:00:00.000000001,"Sultanah Bahiyah Hospital, Alor Setar",10,1,0,2,1,2,3,0,1
159,1970-01-01 00:00:00.000000001,"Sultan Abdul Halim Hospital, Sungai Petani",20,4,2,2,4,3,2,1,2
160,1970-01-01 00:00:00.000000001,Pendang Hospital,0,0,0,0,0,0,0,0,0
161,1970-01-01 00:00:00.000000001,Kulim Hospital,5,0,1,1,1,0,0,2,0
162,1970-01-01 00:00:00.000000001,Baling Hospital,15,1,1,3,1,4,1,4,0
163,1970-01-01 00:00:00.000000001,Sik Hospital,0,0,0,0,0,0,0,0,0
164,1970-01-01 00:00:00.000000001,Hospital Yan,16,1,2,1,1,3,1,6,1
165,1970-01-01 00:00:00.000000001,Hospital Jitra,0,0,0,0,0,0,0,0,0
166,1970-01-01 00:00:00.000000001,Hospital Kuala Nerang,24,4,6,4,3,1,2,1,3
167,1970-01-01 00:00:00.000000001,"Hospital Raja Perempuan Zainab II, Kota Bharu",0,0,0,0,0,0,0,0,0
168,1970-01-01 00:00:00.000000001,Hospital Pasir Mas,15,0,3,2,1,2,2,3,2
169,1970-01-01 00:00:00.000000001,Hospital Tumpat,16,0,1,2,4,1,1,3,4
170,1970-01-01 00:00:00.000000001,Hospital Machang,25,3,5,3,4,3,2,4,1
171,1970-01-01 00:00:00.000000001,Hospital Jeli,7,1,0,1,0,1,1,2,1
172,1970-01-01 00:00:00.000000001,Hospital Tanah Merah,8,0,1,1,3,2,0,1,0
173,1970-01-01 00:00:00.000000001,"Hospital Tengku Anis, Pasir Putih",30,3,3,3,3,5,5,4,4
174,1970-01-01 00:00:00.000000001,Hospital Gua Musang,48,1,5,8,8,7,11,2,6
175,1970-01-01 00:00:00.000000001,Hospital Kuala Krai,49,5,5,6,4,9,6,6,8
176,1970-01-01 00:00:00.000000001,Hospital Universiti Sains Malaysia (HUSM),0,0,0,0,0,0,0,0,0
177,1970-01-01 00:00:00.000000001,Kuala Lumpur Hospital,0,0,0,0,0,0,0,0,0
178,1970-01-01 00:00:00.000000001,National Heart Institute of Malaysia (IJN),28,2,3,3,5,4,3,3,5
179,1970-01-01 00:00:00.000000001,Hospital Canselor Tuanku Muhriz UKM (HCTM),0,0,0,0,0,0,0,0,0
180,1970-01-01 00:00:00.000000001,University Malaya Medical Centre (UMMC),18,3,1,2,1,3,3,2,3
181,1970-01-01 00:00:00.000000001,Hospital Angkatan Tentera Tuanku Mizan,0,0,0,0,0,0,0,0,0
182,1970-01-01 00:00:00.000000001,Hospital Rehabilitasi Cheras,21,5,1,2,3,4,2,1,3
183,1970-01-01 00:00:00.000000001,Hospital Nukleus Labuan,0,0,0,0,0,0,0,0,0
184,1970-01-01 00:00:00.000000001,Jabatan Kesihatan Labuan,30,3,6,2,4,4,1,3,7
185,1970-01-01 00:00:00.000000001,Malacca General Hospital,63,6,11,5,7,6,11,8,9
186,1970-01-01 00:00:00.000000001,Hospital Alor Gajah,30,5,5,4,5,5,1,3,2
187,1970-01-01 00:00:00.000000001,Hospital Jasin,25,4,2,5,3,3,2,2,4
188,1970-01-01 00:00:00.000000001,Hospital Angkatan Tentera Terendak,0,0,0,0,0,0,0,0,0
189,1970-01-01 00:00:00.000000001,Tuanku Ja'afar Hospital,28,1,5,1,9,1,1,4,6
190,1970-01-01 00:00:00.000000001,"Hospital Tuanku Ampuan Najihah, Kuala Pilah",0,0,0,0,0,0,0,0,0
191,1970-01-01 00:00:00.000000001,Hospital Port Dickson,6,0,0,2,1,0,2,0,1
192,1970-01-01 00:00:00.000000001,Hospital Tampin,60,6,6,12,9,5,8,10,4
193,1970-01-01 00:00:00.000000001,Hospital Jelebu,0,0,0,0,0,0,0,0,0
194,1970-01-01 00:00:00.000000001,Hospital Jempol,0,0,0,0,0,0,0,0,0
195,1970-01-01 00:00:00.000000001,Hospital Rembau,6,2,0,0,0,1,0,2,1
196,1970-01-01 00:00:00.000000001,Tengku Ampuan Afzan Hospital,0,0,0,0,0,0,0,0,0
197,1970-01-01 00:00:00.000000001,Hospital Pekan,0,0,0,0,0,0,0,0,0
198,1970-01-01 00:00:00.000000001,Hospital Kuala Lipis,72,7,7,8,14,8,8,13,7
199,1970-01-01 00:00:00.000000001,Hospital Raub,0,0,0,0,0,0,0,0,0
200,1970-01-01 00:00:00.000000001,Hospital Bentong,0,0,0,0,0,0,0,0,0
201,1970-01-01 00:00:00.000000001,Hospital Jerantut,8,0,2,1,1,0,1,1,2
202,1970-01-01 00:00:00.000000001,Hospital Jengka,0,0,0,0,0,0,0,0,0
203,1970-01-01 00:00:00.000000001,Hospital Muadzam Shah,8,0,0,1,2,2,1,0,2
204,1970-01-01 00:00:00.000000001,"Hospital Sultan Haji Ahmad Shah, Temerloh",28,4,1,3,5,2,5,4,4
205,1970-01-01 00:00:00.000000001,Hospital Cameron Highlands,8,0,1,1,2,2,0,1,1
206,1970-01-01 00:00:00.000000001,Hospital Rompin,0,0,0,0,0,0,0,0,0
207,1970-01-01 00:00:00.000000001,Hospital Universiti Islam Antabangsa (UIA) Kuantan,32,2,1,8,4,4,5,6,2
208,1970-01-01 00:00:00.000000001,Hospital Bera,0,0,0,0,0,0,0,0,0
209,1970-01-01 00:00:00.000000001,Penang General Hospital,0,0,0,0,0,0,0,0,0
210,1970-01-01 00:00:00.000000001,Hospital Sungai Bakap,14,2,1,1,2,2,3,1,2
211,1970-01-01 00:00:00.000000001,Hospital Bukit Mertajam,15,2,2,0,2,1,4,3,1
212,1970-01-01 00:00:00.000000001,Hospital Balik Pulau,10,1,0,1,2,1,3,2,0
213,1970-01-01 00:00:00.000000001,Hospital Seberang Jaya,21,3,3,2,1,2,3,5,2
214,1970-01-01 00:00:00.000000001,Hospital Kepala Batas,7,1,1,1,2,0,1,1,0
215,1970-01-01 00:00:00.000000001,Hospital Batu Gajah,5,2,1,0,1,0,1,0,0
216,1970-01-01 00:00:00.000000001,"Hospital Bahagia Ulu Kinta, Tanjung Rambutan",0,0,0,0,0,0,0,0,0
217,1970-01-01 00:00:00.000000001,Hospital Changkat Melintang,10,0,2,0,1,1,1,2,3
218,1970-01-01 00:00:00.000000001,Hospital Grik,32,2,3,5,5,2,6,6,3
219,1970-01-01 00:00:00.000000001,Hospital Kampar,12,1,0,2,2,3,2,2,0
220,1970-01-01 00:00:00.000000001,Hospital Kuala Kangsar,24,5,4,3,2,2,2,4,2
221,1970-01-01 00:00:00.000000001,Hospital Parit Buntar,0,0,0,0,0,0,0,0,0
222,1970-01-01 00:00:00.000000001,"Hospital Raja Permaisuri Bainun, Ipoh",0,0,0,0,0,0,0,0,0
223,1970-01-01 00:00:00.000000001,Hospital Selama,10,2,0,6,0,0,0,0,2
224,1970-01-01 00:00:00.000000001,Hospital Seri Manjung,0,0,0,0,0,0,0,0,0
225,1970-01-01 00:00:00.000000001,Hospital Sg. Siput,10,0,1,2,3,2,1,0,1
226,1970-01-01 00:00:00.000000001,Hospital Slim River,30,1,5,1,6,7,3,5,2
227,1970-01-01 00:00:00.000000001,Hospital Tapah,16,2,2,3,2,2,1,3,1
228,1970-01-01 00:00:00.000000001,Hospital Taiping,0,0,0,0,0,0,0,0,0
229,1970-01-01 00:00:00.000000001,Hospital Teluk Intan,15,3,2,1,0,2,2,3,2
230,1970-01-01 00:00:00.000000001,"Hospital Tuanku Fauziah, Kangar",6,1,1,0,1,0,1,2,0
231,1970-01-01 00:00:00.000000001,Putrajaya Hospital,7,1,0,1,1,2,2,0,0
232,1970-01-01 00:00:00.000000001,National Cancer Institute,21,3,5,4,3,1,0,3,2
233,1970-01-01 00:00:00.000000001,"Queen Elizabeth Hospital, Kota Kinabalu (I & II)",8,0,1,1,0,0,2,2,2
234,1970-01-01 00:00:00.000000001,"Duchess of Kent Hospital, Sandakan",0,0,0,0,0,0,0,0,0
235,1970-01-01 00:00:00.000000001,Hospital Beaufort,0,0,0,0,0,0,0,0,0
236,1970-01-01 00:00:00.000000001,Hospital Beluran,40,6,4,7,5,4,5,5,4
237,1970-01-01 00:00:00.000000001,Hospital Keningau,10,0,1,3,0,1,3,2,0
238,1970-01-01 00:00:00.000000001,Hospital Kinabatangan,6,0,0,0,1,2,1,1,1
239,1970-01-01 00:00:00.000000001,Hospital Kota Belud,24,3,3,1,1,7,4,3,2
240,1970-01-01 00:00:00.000000001,Hospital Kota Marudu,12,2,0,0,3,4,1,0,2
241,1970-01-01 00:00:00.000000001,Hospital Kuala Penyu,0,0,0,0,0,0,0,0,0
242,1970-01-01 00:00:00.000000001,Hospital Kudat,0,0,0,0,0,0,0,0,0
243,1970-01-01 00:00:00.000000001,Hospital Lahad Datu,10,4,0,0,2,1,2,1,0
244,1970-01-01 00:00:00.000000001,Hospital Mesra Bukit Padang,0,0,0,0,0,0,0,0,0
245,1970-01-01 00:00:00.000000001,Hospital Papar,0,0,0,0,0,0,0,0,0
246,1970-01-01 00:00:00.000000001,Hospital Ranau,0,0,0,0,0,0,0,0,0
247,1970-01-01 00:00:00.000000001,Hospital Semporna,8,1,0,0,1,0,4,2,0
248,1970-01-01 00:00:00.000000001,Hospital Sipitang,5,0,0,2,0,1,0,1,1
249,1970-01-01 00:00:00.000000001,Hospital Tambunan,8,0,1,0,0,1,0,3,3
250,1970-01-01 00:00:00.000000001,Hospital Tawau,24,2,2,6,3,1,2,5,3
251,1970-01-01 00:00:00.000000001,Hospital Tenom,0,0,0,0,0,0,0,0,0
252,1970-01-01 00:00:00.000000001,Hospital Wanita dan Kanak-Kanak Sabah[5],14,2,4,1,1,1,2,1,2
253,1970-01-01 00:00:00.000000001,Sarawak General Hospital,6,0,0,1,1,2,0,1,1
254,1970-01-01 00:00:00.000000001,"Sarawak General Hospital, Kota Samarahan (Cardiac services)",0,0,0,0,0,0,0,0,0
255,1970-01-01 00:00:00.000000001,Hospital Bau,0,0,0,0,0,0,0,0,0
256,1970-01-01 00:00:00.000000001,Hospital Sibu,0,0,0,0,0,0,0,0,0
257,1970-01-01 00:00:00.000000001,Hospital Miri,0,0,0,0,0,0,0,0,0
258,1970-01-01 00:00:00.000000001,Hospital Sarikei,20,3,2,3,1,2,3,3,3
259,1970-01-01 00:00:00.000000001,Hospital Sri Aman,0,0,0,0,0,0,0,0,0
260,1970-01-01 00:00:00.000000001,Hospital Limbang,0,0,0,0,0,0,0,0,0
261,1970-01-01 00:00:00.000000001,Hospital Lawas,30,2,2,3,2,5,6,2,8
262,1970-01-01 00:00:00.000000001,Hospital Kapit,7,0,0,1,1,2,0,1,2
263,1970-01-01 00:00:00.000000001,Hospital Sentosa,7,1,1,0,2,0,1,0,2
264,1970-01-01 00:00:00.000000001,Hospital Mukah,0,0,0,0,0,0,0,0,0
265,1970-01-01 00:00:00.000000001,Hospital Marudi,80,14,16,3,10,8,15,8,6
266,1970-01-01 00:00:00.000000001,Hospital Lundu,14,1,0,3,5,1,3,1,0
267,1970-01-01 00:00:00.000000001,Hospital Bintulu,0,0,0,0,0,0,0,0,0
268,1970-01-01 00:00:00.000000001,Hospital Betong,0,0,0,0,0,0,0,0,0
269,1970-01-01 00:00:00.000000001,Hospital Serian,21,1,3,2,4,2,3,4,2
270,1970-01-01 00:00:00.000000001,Hospital Simunjan,0,0,0,0,0,0,0,0,0
271,1970-01-01 00:00:00.000000001,Rajah Charles Brooke Memorial Hospital,30,4,4,3,4,7,2,2,4
272,1970-01-01 00:00:00.000000001,Hospital Kanowit,24,2,4,5,3,0,4,3,3
273,1970-01-01 00:00:00.000000001,Hospital Saratok,8,1,1,0,1,1,0,2,2
274,1970-01-01 00:00:00.000000001,Hospital Dalat,8,1,2,2,0,0,1,2,0
